ID,Hotel,Agents,Check_in,Check_out,Check_in_search,Check_out_search,Price,Last Stage
2ab761a1-1177-4d72-8dc2-6c09d294103d,"Hotel Phillips Kansas City, Curio Collection by Hilton",Not Available,"Sat, Mar 25","Sun, Mar 26","Sat, Mar 25","Sun, Mar 26",Not Available,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Hilton Tampa Airport Westshore   Official Site,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,trivago.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$894,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Booking.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Wego,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$896,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Hurb.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$896,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Tripadvisor.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Priceline,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Hotels.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,eDreams,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$896,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Traveluro,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$877,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,KAYAK.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Expedia.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,GoSplitty,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$877,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,SuperTravel,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Agoda,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,getaroom,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Vio.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$865,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Reserving.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Stayforless,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,hutchgo.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$878,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,HotelsCombined,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,eSky.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$864,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,MOMONDO.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Trip.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Skyscanner,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$915,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Reservations.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14","$1,065",scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Hotwire.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Bluepillow.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$866,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,us.rehlat.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$884,scrape process
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,BookingBargains.com,"Thu, Apr 13","Fri, Apr 14","Thu, Apr 13","Fri, Apr 14",$892,scrape process
